mjd,flux,flux err
54474.3420833,0.4598903,0.0128515
54476.3371875,0.4690839,0.0131537
54478.3319560,0.4599412,0.0097451
54480.3266435,0.4547502,0.0215158
54482.3215046,0.4367444,0.0129810
54484.3150926,0.4541637,0.0179581
54486.3105787,0.4588872,0.0221442
54494.2875579,0.4558603,0.0334225
54496.2823843,0.4755912,0.0094194
54498.2772917,0.4641457,0.0108224
54500.2728819,0.4358923,0.0254593
54502.2678819,0.4804444,0.0121970
54506.2559491,0.4721329,0.0114400
54508.2503819,0.4559266,0.0165946
54546.1454745,0.4784696,0.0204753
54548.1409491,0.5043238,0.0112077
54550.1354977,0.4793123,0.0272865
54558.1135532,0.5278949,0.0301747
54584.0431019,0.4963026,0.0392988
54600.0018750,0.4460141,0.0166165
54601.9959491,0.4687191,0.0137472
54603.9905671,0.4632582,0.0298031
54605.9853356,0.4684393,0.0157948
54618.9493287,0.4358281,0.0163046
54620.9442130,0.4460418,0.0111561
54623.9358565,0.4389830,0.0179584
54625.9273032,0.4401812,0.0149815
54629.9169444,0.4502316,0.0087281
54631.9142130,0.4766390,0.0228767
54633.9089931,0.4628829,0.0091261
54634.9061227,0.4738843,0.0118961
54637.8979745,0.4519702,0.0209651
54655.8489005,0.4036152,0.0715705
54662.8271644,0.3562757,0.0342316
54664.8239815,0.3812543,0.0274103
54673.7988310,0.4204065,0.0144852
54675.7927315,0.4679259,0.0154457
54677.7872569,0.3989502,0.0241348
54679.7818403,0.3872653,0.0086551
54681.7771296,0.3532772,0.0279312
54683.7704282,0.3785976,0.0168819
54685.7657523,0.3804923,0.0297597
54687.7604514,0.3151500,0.0122642
54691.7493519,0.3379120,0.0125570
54693.7536921,0.3036160,0.0300485
54695.7489120,0.3783684,0.0493030
54697.7435764,0.3118432,0.0099766
54699.7372106,0.3533879,0.0132078
54701.7315856,0.3642433,0.0254756
54703.7265972,0.3188720,0.0091471
54705.7205787,0.3347436,0.0271021
54707.7150347,0.3377339,0.0200272
54762.5827431,0.4252647,0.0100724
54768.5664931,0.4317687,0.0152563
54774.5550231,0.3936902,0.0080442
54776.5494907,0.4274698,0.0204862
54781.5291551,0.4107611,0.0078593
54783.5280324,0.4306382,0.0098431
54785.5231366,0.3433966,0.0178139
54789.5125463,0.3986246,0.0111425
54791.5066319,0.4133077,0.0245848
54793.5016551,0.4157904,0.0115440
54795.4962616,0.4061968,0.0084301
54805.4688426,0.4087092,0.0074107
54813.4471412,0.4008230,0.0103817
54817.4362731,0.3949548,0.0108564
54819.4306366,0.4388169,0.0469873
54821.4259028,0.4057523,0.0105394
54823.4192361,0.4054351,0.0164549
54849.3487616,0.4009605,0.0120826
54861.3161806,0.3682482,0.0089378
54863.3108565,0.3474077,0.0105740
54865.3056019,0.3545572,0.0089695
54871.2889352,0.3609282,0.0067722
54877.2727083,0.3647376,0.0200588
54879.2674190,0.3641627,0.0099526
54881.2643287,0.3502866,0.0073364
54883.2589699,0.3595284,0.0075589
54885.2537731,0.3776184,0.0149025
54887.2482176,0.3591340,0.0084317
54889.2428009,0.3460676,0.0073350
54891.2373148,0.3621170,0.0080237
54895.2266204,0.3605104,0.0070274
54897.2207407,0.3040610,0.0244438
54899.2154051,0.3595303,0.0085130
54905.2005903,0.3460218,0.0108159
54907.1927546,0.4086713,0.0122039
54910.1976620,0.3913925,0.0068936
54923.1428125,0.3638769,0.0078107
54926.1312269,0.3965545,0.0275526
54932.1144792,0.3850541,0.0382293
54935.0965394,0.3780911,0.0668156
54941.0802778,0.4191838,0.0133547
54944.0835880,0.4001207,0.0083699
54953.0579977,0.3957840,0.0134035
54960.0513773,0.4281436,0.0224760
54963.0362847,0.4223653,0.0465686
54966.0278819,0.4238687,0.0089533
54969.0143171,0.4334695,0.0160791
55000.9453704,0.3928165,0.0134714
55008.9158333,0.4096851,0.0446821
55015.9004977,0.4159946,0.0150133
55018.8788194,0.4189731,0.0172499
55021.8805208,0.4242803,0.0079936
55033.8481713,0.3755682,0.0120323
55036.8401389,0.3751011,0.0442634
55039.8182292,0.4228733,0.0397106
55045.8221875,0.3682901,0.0198078
55048.8009954,0.3954999,0.0138354
55054.7892824,0.4017545,0.0113608
55057.7818981,0.4064573,0.0181490
55060.7712616,0.4002390,0.0100379
55069.7539352,0.3975617,0.0061926
55072.7471875,0.4027916,0.0053996
55075.7381944,0.3872921,0.0259806
55081.7212269,0.4058396,0.0087017
55087.7015741,0.4127669,0.0109898
55090.6964815,0.4009197,0.0123740
55093.6881019,0.4128448,0.0081836
55096.6825231,0.3861079,0.0103883
55099.6716088,0.4047561,0.0062587
55102.6635880,0.4018610,0.0071968
55105.6528935,0.4014450,0.0154013
55112.6379282,0.3653628,0.0131734
55115.6361806,0.3861916,0.0232053
55137.5822106,0.4005066,0.0275109
