mjd,flux,flux err
55055.5275116,0.0155880,0.0040386
55100.4008449,0.0104767,0.0036021
55103.3924537,0.0150917,0.0034826
55113.3458449,0.0113663,0.0033871
55203.1423264,0.0132666,0.0060368
55247.0240278,0.0191995,0.0075481
55321.8090278,0.0130385,0.0044381
55382.6634954,0.0438602,0.0132696
55388.6558333,0.0177634,0.0044801
55433.6694213,0.0095002,0.0043768
55533.2639352,0.0137097,0.0048913
55580.2348264,0.0186167,0.0076511
55607.1432176,0.0081128,0.0036148
55647.0426852,0.0112085,0.0037063
55661.8566204,0.0236257,0.0103397
55697.8345255,0.0286188,0.0088174
55722.7775347,0.0218511,0.0081959
55752.6950116,0.0205177,0.0050593
55778.7557176,0.0201351,0.0092547
55791.7264815,0.0319862,0.0133025
55798.6997569,0.0233597,0.0088474
55812.5331134,0.0246993,0.0080932
55819.4920023,0.0267124,0.0036785
55829.4709838,0.0257935,0.0077064
55843.5272338,0.0285851,0.0102033
55854.3975694,0.0112333,0.0043487
55861.3889468,0.0366427,0.0051925
55864.3805671,0.0205662,0.0083183
55868.3594792,0.0307583,0.0037191
55871.3529861,0.0305722,0.0090283
55875.3583565,0.0236792,0.0094679
55882.3289120,0.0179010,0.0060606
55885.3322917,0.0293819,0.0051558
55892.2946644,0.0304769,0.0070309
55906.2183912,0.0235824,0.0053835
55910.2073380,0.0304120,0.0119881
55914.1804398,0.0316855,0.0080240
55925.1393866,0.0346899,0.0133439
55927.1611111,0.0350196,0.0122148
55933.1132407,0.0244016,0.0116934
55954.0731134,0.0391681,0.0154443
55955.1308333,0.0427031,0.0182033
55962.1117477,0.0586209,0.0159400
55972.0948843,0.0370325,0.0035559
55977.0841551,0.0386273,0.0038201
55984.1577778,0.0322933,0.0030025
55991.1232407,0.0304069,0.0032706
56002.9292824,0.0411271,0.0050995
56055.8487616,0.0382372,0.0061327
56056.9738657,0.0309692,0.0027474
56104.8185069,0.0452919,0.0090921
56109.8461806,0.0556282,0.0194381
